	question	class
148	jak se postupuje pri prodlouzeni platnosti patentu?	17
149	jak udrzet patent v platnosti?	17
150	jak udrzovat patent v platnosti?	17
151	jak prodlouzit patent?	17
152	jak obnovit patent?	17
153	podava se k prodlouzeni patentu zadost?	18
154	podava se k obnove patentu zadost?	18
155	jak udrzet uzitny vzor v platnosti?	19
156	jak udrzovat uzitny vzor v platnosti?	19
157	jak prodlouzit uzitny vzor?	19
158	jak obnovit uzitny vzor?	19
159	jak udrzet prumyslovy vzor v platnosti?	20
160	jak udrzovat prumyslovy vzor v platnosti?	20
161	jak prodlouzit prumyslovy vzor?	20
162	jak obnovit prumyslovy vzor?	20
163	poplatky za udrzovani prumysloveho vzoru v platnosti	20
164	poplatek za udrzovani prumysloveho vzoru v platnosti	20
165	kolik stoji za udrzovani prumysloveho vzoru v platnosti	20
166	podava se k prodlouzeni prumysloveho vzoru zadost?	20
167	podava se k obnove prumysloveho vzoru zadost?	20
168	jak udrzet ochrannou znamku v platnosti?	21
169	jak udrzovat ochrannou znamku v platnosti?	21
170	jak prodlouzit ochrannou znamku?	21
171	jak obnovit ochrannou znamku?	21
172	podava se k prodlouzeni ochranne znamky zadost?	21
173	podava se k obnove ochranne znamky zadost?	21
174	jak se prodluzuje platnost zapisu ochranne znamky?	21
175	je mozne zmenit prihlasovatele prihlasky nebo majitele prumysloveho prava?	22
176	jaky je postup pro zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	22
177	je potreba pro prevod prava nejaky formular?	22
178	je podava se pro prevod prava nejaky formular?	22
179	jak zmenit prihlasovatele prumysloveho prava?	22
180	jak zmenit majitele prumysloveho prava?	22
181	co je potreba k zadosti o zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	22
182	poplatek za prevod prumysloveho prava?	23
183	kolik stoji prevod prumysloveho prava?	23
184	jaka je vyse poplatku za zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	23
185	jaky je poplatek za zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	23
186	kolik stoji za zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	23
187	muze dojit k nabyti prava na zaklade jinych skutecnosti nez projevu vule?	23
188	je prechod prava zpoplatnen?	23
189	kdy je prevod prava ucinnym?	24
190	co je licence?	25
191	jak je mozne ziskat licenci?	25
192	co se predklada k zadosti o zapis licence?	25
193	co je treba prilozit k zadosti o zapis licence?	25
194	jaky je postup pri zadosti o zapis licence?	25
195	co je prohlaseni o nabidce licence?	26
196	co znamena prohlaseni o nabidce licence?	26
197	prohlaseni o nabidce licence	26
198	kolik stoji zapis licence?	27
199	poplatek za zapis licence?	27
200	kdo ma pravo nahlizet do spisu?	28
201	jak nahlizet do spisu?	28
202	jak nahlednout do spisu?	28
203	co je duvodem pro nahlednuti do spisu?	28
204	jaky je postup pro nahlizeni do spisu?	28
205	kdo muze nahlizet do spisu?	28
206	kdo je opravnen nahlizet do spisu?	28
207	zadost o nahlizeni do spisu	28
208	nahlizeni do spisu	28
209	jak postupovat pri nahlizeni do spisu?	28
210	jak pozadat o vypis.	29
211	co uvest v zadosti o vypis z rejstriku?	29
212	jaky je rozdil mezi aktualnim a uplnym vypisem?	29
213	kolik stoji za vypis?	29
214	jaky je poplatek za vypis?	29
215	jak pozadat o opis?	30
216	kolik stoji za opis?	30
217	jaky je poplatek za opis?	30
218	kdo muze pozadat o opis listiny?	30
219	co obsahuje opis?	30
220	osvedceni o zapisu	30
221	opis patentove listiny	30
222	k cemu slouzi prioritni doklad?	31
223	co je prioritni doklad?	31
224	je mozne se odvolat proti rozhodnuti uradu?	32
225	muzu se odvolat proti rozhodnuti uradu?	32
226	jaka je lhuta pro podani rozkladu?	32
227	jaky je postup, pokud nesouhlasim s rozhodnutim uradu?	32
228	lze proti rozhodnuti uradu podat rozklad?	32
229	je mozne proti rozhodnuti uradu podat rozklad?	32
230	muzu proti rozhodnuti uradu podat rozklad?	32
231	je mozne podat odvolani?	32
232	muzu se odvolat proti rozhodnuti uradu i po zmeskane lhute?	32
233	odvolani	32
234	rozklad	32
235	opravne rizeni proti rozhodnuti uradu	32
236	jak podat odvolani ?	32
237	jak podat rozklad?	32
238	co mam delat, pokud dojde k poruseni meho patentu ?	33
239	co muzu delat, pokud dojde k poruseni meho patentu ?	33
240	co mam delat, pokud dojde k poruseni meho prava?	33
241	co muzu delat, pokud dojde k poruseni meho prava?	33
242	jake jsou moznosti , pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	33
243	co mam delat , pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	33
244	jak postupovat, pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	33
245	jake jsou moznosti , kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	33
246	co mam delat , kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	33
247	jak postupovat, kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	33
248	neopravneny zasah do prav	33
249	neopravneny zasah do prav z dusevniho vlastnictvi	33
250	nahrada skody	33
251	kde mohu najit informace o vymahani prav?	33
252	kde najdu informace o vymahani prav?	33
253	poruseni prav	33
254	na koho se mohu obratit, pri porusovani prav dusevniho vlastnictvi?	33
255	na koho se mam obratit, pri porusovani prav dusevniho vlastnictvi?	33
256	na koho se mohu obratit, pri poruseni prav dusevniho vlastnictvi?	33
257	na koho se mam obratit, pri poruseni prav dusevniho vlastnictvi?	33
258	poruseni prav z prumysloveho vlastnictvi	33
259	kam se obratit pri porusovani prav z dusevniho vlastnictvi?	33
260	kam se obratit pri poruseni prav z dusevniho vlastnictvi?	33
261	vymahani prav	33
262	kdo muze pozadovat nahradu skody v pripade poruseni prumyslovych prav?	33
263	kdo je opravnen pozadovat nahradu skody v pripade poruseni prumyslovych prav?	33
264	kdo muze vymahat prava z prumysloveho vlastnictvi?	33
265	kdo je opravnen vymahat prava z prumysloveho vlastnictvi?	33
266	muze urad rozhodnout o sporu tykajiciho se patentu ?	34
267	muze urad rozhodnout o sporu o patent?	34
268	muze urad rozhodnout o sporu ohledne patentu?	34
269	jak postupovat v pripade sporu o vyuziti patentu nebo uzitneho vzoru?	35
270	jak se postupuje v pripade sporu o vyuziti patentu nebo uzitneho vzoru?	35
271	spor o patent	35
272	spor v pripade patentu	35
273	spor o vyuziti patentu	35
274	spor o patentu	35
275	spor tykajici se patentu	35
276	spor o uzitny vzor	35
277	spor v pripade uzitneho vzoru	35
278	spor o vyuziti uzitneho vzoru	35
279	spor tykajici se uzitneho vzoru	35
280	co delat v pripade sporu o patent ?	35
281	jak postupovat v pripade sporu o patent ?	35
282	co delat v pripade sporu o uzitny vzor?	35
283	jak postupovat v pripade sporu o uzitny vzor?	35
284	jak muze urad pomoci ve sporu o patent ?	35
285	jak muze urad pomoci ve sporu o uzitny vzor ?	35
286	jak muze urad pomoci ve sporu tykajicim se patentu ?	35
287	jak muze urad pomoci ve sporu tykajicim se uzitneho vzoru ?	35
288	moznosti ve sporu	35
289	kde najdu informace o postupu v pripade sporu?	35
290	kde najit informace o postupu v pripade sporu?	35
291	spor	35
292	definice ochranne znamky?	36
293	co muze byt povazovano za ochrannou znamku?	36
294	co je ochranna znamka?	36
295	co je funkci ochranne znamky?	36
296	ochranna znamka	36
297	jake prvky mohou tvorit ochrannou znamku?	36
298	jake prvky tvori ochrannou znamku?	36
299	prvky ochranne znamky	36
300	"co se mysli terminem ""ochranna znamka""?"	36
301	k cemu slouzi ochranna znamka?	36
302	odliseni vyrobku a sluzeb od konkurence	36
303	existuji databaze se seznamem starsich ochrannych znamek?	37
304	kde najdu starsi ochranne znamky?	37
305	jak zacit, kdyz chci zapsat ochrannou znamku?	37
306	kde zacit, kdyz chci zapsat ochrannou znamku?	37
307	jak zacit, kdyz chci registrovat ochrannou znamku?	37
308	kde zacit, kdyz chci registrovat ochrannou znamku?	37
309	muzu si nechat provest resersi pred podanim prihlasky ochranne znamky?	38
310	muzu si objednat resersi ochranne znamky?	38
311	jak objednam resersi ochranne znamky?	38
312	jake resersni sluzby ochrannych znamek poskytuje urad?	38
313	typy resersi ochrannych znamek provadi urad	38
314	jak podat zadost o resersi ochranne znamky u uradu?	38
315	jak objednat resersi ochranne znamky?	38
316	jaky je postup pro objednani pisemne reserse u uradu?	38
317	co je reserse na slovni oznaceni?	39
318	co zahrnuje reserse na slovni oznaceni?	39
319	jak urychlit resersi?	40
320	expresni reserse ochranne znamky	40
321	jak dlouho trva zpracovani reserse ochranne znamky uradem?	41
322	kolik stoji resersi ochranne znamky?	41
323	poplatek za resersi ochranne znamky?	41
324	cenik resersnich sluzeb	41
325	kolik stoji reserse ochranne znamky?	41
326	cenik pro resersni sluzby uradu?	41
327	jaky je spravni poplatek za prijeti prihlasky ochranne znamky?	42
328	kolik stoji prijeti prihlasky ochranne znamky?	42
329	poplatek za podani prihlasky ochranne znamky	42
330	poplatky za podani prihlasky ochranne znamky	42
331	cenik za podani prihlasky ochranne znamky	42
332	jak mohu zaplatit spravni poplatek za podani prihlasky ochranne znamky?	42
333	jak lze zaplatit spravni poplatek za podani prihlasky ochranne znamky?	42
334	jake jsou naklady na registraci kolektivni ochranne znamky?	42
335	existuji nejake slevy na spravni poplatek pri elektronickem podani ochranne znamky?	42
336	jak dlouho plati ochranna znamka?	43
337	jak dlouho je platna ochranna znamka?	43
338	jak mohu prodlouzit platnost ochranne znamky?	43
339	jak je mozne prodlouzit platnost ochranne znamky?	43
340	poplatek za podani zadosti o obnovu platnosti ochranne znamky?	44
341	kde mohu najit databazi ochrannych znamek?	45
342	kde lze najit databazi ochrannych znamek?	45
343	ma urad verejne dostupnou databazi ochrannych znamek?	45
344	jakym zpusobem mohu prohledavat ochranne znamky?	45
345	jak mohu prohledavat ochranne znamky?	45
346	kde najdu prehled ochrannych znamek?	45
347	jak zjistim , zda moje znacka je jiz registrovana?	45
348	jak  mohu zjistit, zda moje znacka je jiz registrovana?	45
349	jak zjistim , jestli moje znacka je jiz registrovana?	45
350	jak  mohu zjistit, jestli moje znacka je jiz registrovana?	45
351	jak zjistim , ze moje znacka je jiz registrovana?	45
352	jak  mohu zjistit, ze moje znacka je jiz registrovana?	45
353	kde mohu nalezt ochranne znamky evropske unie?	45
354	kde najdu ochranne znamky evropske unie?	45
355	kde jsou ochranne znamky evropske unie?	45
356	kde muzu najit ochranne znamky evropske unie?	45
357	jak se mohu podivat na ochranne znamky registrovane v zahranici?	45
358	kde se mohu podivat na ochranne znamky registrovane v zahranici?	45
359	jak  najdu ochranne znamky registrovane v zahranici?	45
360	kde najdu ochranne znamky registrovane v zahranici?	45
361	jak  najit ochranne znamky registrovane v zahranici?	45
362	kde najit ochranne znamky registrovane v zahranici?	45
363	zahranicni databaze ochrannych znamek	45
364	mezinarodni databaze ochrannych znamek	45
365	jak prihlasit mezinarodni ochranne znamky?	46
366	jak podat prihlasku mezinarodni ochranne znamky?	46
367	jak postupovat pri zapisu mezinarodni ochranne znamky?	46
368	jak prihlasit  zahranicni ochranne znamky?	46
369	jak podat prihlasku  zahranicni ochranne znamky?	46
370	jak postupovat pri zapisu zahranicni ochranne znamky?	46
371	kdo muze podat zadost o mezinarodni zapis ochranne znamky?	46
372	kdo muze podat zadost o zahranicni zapis ochranne znamky?	46
373	mezinarodni ochranna znamka	46
374	zahranicni ochranna znamka	46
375	obnoveni mezinarodni ochranne znamky	46
376	obnoveni zahranicni ochranne znamky	46
377	kde muzu najit informace o mezinarodni ochranne znamce?	46
378	kde mohu najit informace o mezinarodni ochranne znamce?	46
379	kde najdu informace o mezinarodni ochranne znamce?	46
380	kde jsou informace o mezinarodni ochranne znamce?	46
381	kde muzu najit informace o zahranicni ochranne znamce?	46
382	kde mohu najit informace o zahranicni ochranne znamce?	46
383	kde najdu informace o zahranicni ochranne znamce?	46
384	kde jsou informace o zahranicni ochranne znamce?	46
385	jak funguje mezinarodni zapis ochrannych znamek?	46
386	jak funguje zahranicni zapis ochrannych znamek?	46
387	co je protokol k madridske dohode ?	46
388	co je madrid?	46
389	kde prihlasit mezinarodni ochrannou znamku?	46
390	kde prihlasit zahranicni ochrannou znamku?	46
391	je mozne prihlasit ceskou ochrannou znamku jako mezinarodni ?	46
392	je mozne prihlasit ceskou ochrannou znamku jako zahranicni?	46
393	doba ochrany mezinarodni ochranne znamky	46
394	doba ochrany zahranicni ochranne znamky	46
395	kde muzu najit informace o prihlasovani ochrannych znamek eu ?	47
396	kde najdu informace o prihlasovani ochrannych znamek eu ?	47
397	kde jsou informace o prihlasovani ochrannych znamek eu ?	47
398	kde muzu najit informace o prihlasovani ochrannych znamek evropske unie?	47
399	kde najdu informace o prihlasovani ochrannych znamek evropske unie?	47
400	kde jsou informace o prihlasovani ochrannych znamek evropske unie?	47
401	informace ochrannych znamkach v eu	47
402	informace ochrannych znamkach v evropske unii	47
403	registrace evropskych ochrannych znamek eu	47
404	registrace evropskych ochrannych znamek evropske unie	47
405	prihlasovani ochrannych znamek eu	47
406	prihlasovani ochrannych znamek evropske unie	47
407	prihlaska ochranne znamky eu	47
408	registrace ochranne znamky eu	47
409	prihlaska ochranne znamky evropske unie	47
410	registrace ochranne znamky evropske unie	47
411	jak se lze dozvedet vice o ochrane dusevniho vlastnictvi v eu ?	47
412	jak se lze dozvedet vice o ochrane dusevniho vlastnictvi v evropske unii?	47
413	kde mohu najit pokyny k prihlaseni ochranne znamky v eu ?	47
414	kde najdu pokyny k prihlaseni ochranne znamky v eu ?	47
415	kde jsou pokyny k prihlaseni ochranne znamky v eu ?	47
416	kde mohu najit pokyny k prihlaseni ochranne znamky v evropske unii?	47
417	kde najdu pokyny k prihlaseni ochranne znamky v evropske unii?	47
418	kde jsou pokyny k prihlaseni ochranne znamky v evropske unii?	47
419	kdo poskytuje informace o prihlaseni ochrannych znamek v eu ?	47
420	kdo poskytuje informace o prihlaseni ochrannych znamek v evropske unii?	47
421	podminky pro prodlouzeni platnosti ochranne znamky	48
422	jaky je proces pro prodlouzeni platnosti ochranne znamky?	48
423	jak postupovat pri prodlouzeni platnosti ochranne znamky?	48
424	jak podat zadost o prodlouzeni platnosti ochranne znamky?	48
425	jaka je delka ochrany ochranne znamky?	48
426	co je treba udelat k obnove platnosti ochranne znamky?	48
427	co mam udelat k obnove platnosti ochranne znamky?	48
428	delka ochrany ochranne znamky	48
429	platnost ochranne znamky	48
430	prodlouzeni zapisu ochranne znamky	48
431	obnova platnosti ochranne znamky	48
432	kde mohu najit informace o druzich ochrannych znamek?	49
433	kde najdu informace o druzich ochrannych znamek?	49
434	kde jsou informace o druzich ochrannych znamek?	49
435	druhy ochrannych znamek	49
436	formaty ochrannych znamek	49
437	kde mohu najit informace o formatech ochrannych znamek?	49
438	kde najdu informace o formatech ochrannych znamek?	49
439	kde jsou informace o formatech ochrannych znamek?	49
440	podani prihlasky ochranne znamky	50
441	jakym zpusobem mam podat prihlasku ochranne znamky?	50
442	jakym zpusobem mohu podat prihlasku ochranne znamky?	50
443	jakym zpusobem muzu podat prihlasku ochranne znamky?	50
444	jakym zpusobem je mozne podat prihlasku ochranne znamky?	50
445	jakym zpusobem mam  registrovat ochranne znamky?	50
446	jakym zpusobem mohu  registrovat ochranne znamky?	50
447	jakym zpusobem muzu  registrovat ochranne znamky?	50
448	jakym zpusobem je mozne registrovat ochranne znamky?	50
449	jakym zpusobem mam  prihlasit ochranne znamky?	50
450	jakym zpusobem mohu  prihlasit ochranne znamky?	50
451	jakym zpusobem muzu  prihlasit ochranne znamky?	50
452	jakym zpusobem je mozne prihlasit ochranne znamky?	50
453	kde lze najit formular prihlasky ochranne znamky?	50
454	kde mohu najit formular prihlasky ochranne znamky?	50
455	kde muzu najit formular prihlasky ochranne znamky?	50
456	zapis ochranne znamky	50
457	registrace ochranne znamky	50
458	prihlaseni ochranne znamky	50
459	formular prihlasky ochranne znamky	50
460	chci zaregistrovat ochrannou znamku	50
461	potrebuji zaregistrovat ochrannou znamku	50
462	chci  prihlasit ochrannou znamku	50
463	potrebuji prihlasit ochrannou znamku	50
464	snizeni poplatku pri podani prihlasky ochranne znamky elektronicky	51
465	sleva na poplatku pri podani prihlasky ochranne znamky elektronicky	51
466	je mozne podani prihlasky ochranne znamky do datove schranky uradu?	52
467	jake jsou nalezitosti narodni prihlasky ochranne znamky?	53
468	co musi obsahovat narodni prihlaska ochranne znamky?	53
469	co by mela obsahovat narodni prihlaska ochranne znamky?	53
470	co jsou soucasti narodni prihlasky ochranne znamky?	53
471	jake informace jsou soucasti narodni prihlasky ochranne znamky?	53
472	co  musi byt soucasti narodni prihlasky ochranne znamky?	53
473	jake informace musi byt soucasti narodni prihlasky ochranne znamky?	53
474	co je nutne mit v narodni prihlasce ochranne znamky?	53
475	co je potreba mit v narodni prihlasce ochranne znamky?	53
476	co je nutne  uvest v narodni prihlasce ochranne znamky?	53
477	co je potreba uvest v narodni prihlasce ochranne znamky?	53
478	co je nutne  vyplnit v narodni prihlasce ochranne znamky?	53
479	co je potreba vyplnit v narodni prihlasce ochranne znamky?	53
480	jake udaje musi byt vyplneny v narodni prihlasce ochranne znamky?	53
481	jake udaje musi byt uvedeny v narodni prihlasce ochranne znamky?	53
482	pozadavky na narodni prihlasku ochranne znamky	53
483	co vse musim uvest v narodni prihlasce ochranne znamky?	53
484	co vse musim vyplnit v narodni prihlasce ochranne znamky?	53
485	co musi narodni prihlaska ochranne znamky obsahovat?	53
486	co by mela narodni prihlaska ochranne znamky obsahovat?	53
487	jakym zpusobem se ma vyplnit narodni prihlaska ochranne znamky?	53
488	jakym zpusobem vyplnit narodni prihlaska ochranne znamky?	53
489	jakym zpusobem se vyplnuje narodni prihlaska ochranne znamky?	53
490	co vse je potreba pro podani narodni prihlasky ochranne znamky?	53
491	co vse je nutne pro podani narodni prihlasky ochranne znamky?	53
492	co vse se vyzaduje pro podani narodni prihlasky ochranne znamky?	53
493	kdo muze podat prihlasku ochranne znamky?	54
494	kdo je opravnen podat prihlasku ochranne znamky?	54
495	jaky je prubeh rizeni po podani prihlasky ochranne znamky?	55
496	jaky je prubeh rizeni pri podani prihlasky ochranne znamky?	55
497	pruzkum prihlasky ochranne znamky	55
498	prezkum prihlasky ochranne znamky	55
499	co se stane, pokud ma prihlaska ochranne znamky vady?	55
500	vady prihlasky ochranne znamky	55
501	vecny pruzkum prihlasky ochranne znamky	55
502	formalni pruzkum prihlasky ochranne znamky	55
503	vylouceni oznaceni ze zapisu do rejstriku	55
504	jaky je postup pro podani namitek proti registraci ochranne znamky do rejstriku ochrannych znamek?	56
505	jaky je postup pro podani namitek proti zapisu ochranne znamky do rejstriku ochrannych znamek?	56
506	kdo muze podat namitky proti zapisu oznaceni ochranne znamky do rejstriku?	56
507	kdo je opravnen podat namitky proti zapisu oznaceni ochranne znamky do rejstriku?	56
508	kdo ma pravo podat namitky proti zapisu oznaceni ochranne znamky do rejstriku?	56
509	kdo muze podat namitky proti registraci ochranne znamky do rejstriku?	56
510	kdo je opravnen podat namitky proti registraci ochranne znamky do rejstriku?	56
511	kdo ma pravo podat namitky proti registraci ochranne znamky do rejstriku?	56
512	jaka je lhuta pro podani namitek proti registraci ochranne znamky?	56
513	jakou lhutu mam pro podani namitek proti registraci ochranne znamky?	56
514	jaka je lhuta pro podani namitek proti zapisu onaceni ochranne znamky?	56
515	jakou lhutu mam pro podani namitek proti zapisu onaceni ochranne znamky?	56
516	namitky proti zapisu oznaceni ochranne znamky do rejstriku	56
517	namitky proti registraci ochranne znamky do rejstriku	56
518	namitky proti zapsane ochranne znamky do rejstriku	56
519	namitky proti zaregistrovane ochranne znamky do rejstriku	56
520	namitky proti prihlasenemu oznaceni ochranne znamky do rejstriku	56
521	jake jsou moznosti doplneni dukazu nebo rozsireni namitkovych duvodu v ramci lhuty pro podani namitek?	56
522	poplatek za podani namitek proti registraci ochranne znamky?	57
523	poplatek za podani namitek proti prihlasenemu oznaceni ochranne znamky?	57
524	jaka je lhuta pro podani namitek proti zapsane ochranne znamce?	58
525	jakou lhutu mam pro podani namitek proti zapsane ochranne znamce?	58
526	lhuta pro podani namitek proti zapsane ochranne znamce?	58
527	jaka je lhuta pro podani namitek proti zaregistrovane ochranne znamce?	58
528	jakou lhutu mam pro podani namitek proti zaregistrovane ochranne znamce?	58
529	lhuta pro podani namitek proti zaregistrovane ochranne znamce?	58
530	zruseni ochranne znamky	59
531	kdy je mozne podat navrh na zruseni ochranne znamky?	59
532	jak je mozne podat navrh na zruseni ochranne znamky?	59
533	jakym zpusobem je mozne podat navrh na zruseni ochranne znamky?	59
534	kdy  lze podat navrh na zruseni ochranne znamky?	59
535	jak  lze podat navrh na zruseni ochranne znamky?	59
536	jakym zpusobem lze podat navrh na zruseni ochranne znamky?	59
537	kdy  muzu podat navrh na zruseni ochranne znamky?	59
538	jak  muzu podat navrh na zruseni ochranne znamky?	59
539	jakym zpusobem muzu podat navrh na zruseni ochranne znamky?	59
540	navrh na zruseni ochranne znamky	59
541	duvody zruseni ochranne znamky	60
542	co znamena, kdyz je ochranna znamka zrusena?	61
543	kdy muze byt ochranna znamka povazovana za neplatnou?	62
544	zneplatneni ochranne znamky	62
545	navrh na prohlaseni ochranne znamky za neplatnou	62
