,question,answer
10,jak zaregistrovat ochrannou znamku do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
11,kde zaregistrovat ochrannou znamku do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
12,chci zaregistrovat ochrannou znamku do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
13,mezinarodni ochranne znamky.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
14,kde najdu zadost k prihlaseni do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
15,jak najdu zadost k prihlaseni do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
16,zadost o mezinarodni zapis,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
17,prihlasku patentu.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
18,formular zadosti o mezinarodni zapis,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
19,prihlasku patentu.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
20,jak prihlasit patent do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
21,jak zaregistrovat patent do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
22,jak prihlasit vynalez do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
23,jak zaregistrovat vynalez do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
24,chci prihlasit patent do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
25,chci zaregistrovat patent do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
26,chci prihlasit vynalez do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
27,chci zaregistrovat vynalez do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
28,mezinarodni patenty.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
29,zadost o mezinarodni zapis,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
30,prihlasku uzitneho vzoru.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
31,formular zadosti o mezinarodni zapis,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
32,prihlasku uzitneho vzoru.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
33,jak prihlasit uzitny vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
34,jak zaregistrovat uzitny vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
35,jak prihlasit uzitny vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
36,jak zaregistrovat uzitny vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
37,chci prihlasit uzitny vzor do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
38,chci zaregistrovat uzitny vzor do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
39,mezinarodni uzitny vzor .,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
40,mezinarodni uzitne vzory.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
41,zadost o mezinarodni zapis prumysloveho vzoru.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
42,zadost o mezinarodni prihlasku prumysloveho vzoru.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
43,formular zadosti o mezinarodni zapis prumysloveho vzoru.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
44,formular zadosti o mezinarodni prihlasku prumysloveho vzoru.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
45,jak prihlasit prumyslovy vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
46,jak zaregistrovat prumyslovy vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
47,jak zapsat prumyslovy vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
48,jak prihlasit prumyslovy vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
49,jak zaregistrovat prumyslovy vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
50,jak zapsat prumyslovy vzor do zahranici?,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
51,chci prihlasit prumyslovy vzor do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
52,chci zaregistrovat prumyslovy vzor do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
53,chci zapsat prumyslovy vzor do zahranici.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
54,mezinarodni prumyslovy vzor .,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
55,mezinarodni prumyslove vzory.,"na strankach uradu naleznete informace tykajici se prihlasovani do zahranici, a to vzdy v ramci sekce venovane jednotlivym prumyslovym pravum, tj. patentum, uzitnym vzorum, prumyslovym vzorum, ochrannym znamkam a oznacenim puvodu a zemepisnym oznacenim."
56,co chrani autorske pravo?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
57,na koho se vztahuji prava souvisejici s autorskym pravem?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
58,jak dlouho plati autorske pravo?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
59,je nutne autorske pravo nekde registrovat ?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
60,je nutne autorske pravo nekde zapsat?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
61,co je mozne delat s dilem bez autorova souhlasu?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
62,co je povazovano za legalni uziti autorskeho dila?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
63,kdo ma na starosti autorske pravo v ceske republice?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
64,uziti autorskeho dila,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
65,jaka jsou omezeni autorskeho prava?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
66,"co se stane, pokud nekdo porusi autorske pravo?","autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
67,"co se stane, kdyz nekdo porusi autorske pravo?","autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
68,kam se obratit s dotazy k autorskemu pravu ?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
69,kam se obratit s dotazy k autorskym pravum?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
70,co je mozne bez souhlasu autora?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
71,co muzu bez souhlasu autora?,"autorske pravo chrani vysledky lidske tvurci cinnosti napr. v oblasti literarni, vytvarne, hudebni, fotograficke, architektonicke, choreograficke, patri sem i oblast  softveru a pocitacovych her. takzvana prava souvisejici s pravem autorskym se vztahuji take na interprety, prekladatele, nahravaci spolecnosti, rozhlasove stanice, vydavatelstvi a dalsi. autorske pravo vznika okamzikem vzniku dila a plati po cely autoruv zivot a jeste 70 let po jeho smrti. neni treba jej nikde registrovat. bez autorova souhlasu neni mozne dilo napr. kopirovat, sirit, upravovat, vystavovat ci pujcovat. legalni je pouze uzivani dila pro osobni potrebu na nekomercni bazi. autorske pravo je v gesci ministerstva kultury ceske republiky."
