	question	class
157	pomoc s podanim	6
158	muze urad pomoci s prihlaskou?	6
159	muze urad pomoct s prihlaskou?	6
160	jak postupovat pri prodlouzeni platnosti patentu?	7
161	jak se postupuje pri prodlouzeni platnosti patentu?	7
162	jak udrzet patent v platnosti?	7
163	jak udrzovat patent v platnosti?	7
164	jak prodlouzit patent?	7
165	jak obnovit patent?	7
166	poplatky za udrzovani patentu v platnosti	7
167	poplatek za udrzovani patentu v platnosti	7
168	podava se k prodlouzeni patentu zadost?	7
169	podava se k obnove patentu zadost?	7
170	jak udrzet uzitny vzor v platnosti?	7
171	jak udrzovat uzitny vzor v platnosti?	7
172	jak prodlouzit uzitny vzor?	7
173	jak obnovit uzitny vzor?	7
174	poplatky za udrzovani uzitneho vzoru v platnosti	7
175	poplatek za udrzovani uzitneho vzoru v platnosti	7
176	podava se k prodlouzeni uzitneho vzoru zadost?	7
177	podava se k obnove uzitneho vzoru zadost?	7
178	jak udrzet prumyslovy vzor v platnosti?	7
179	jak udrzovat prumyslovy vzor v platnosti?	7
180	jak prodlouzit prumyslovy vzor?	7
181	jak obnovit prumyslovy vzor?	7
182	poplatky za udrzovani prumysloveho vzoru v platnosti	7
183	poplatek za udrzovani prumysloveho vzoru v platnosti	7
184	podava se k prodlouzeni prumysloveho vzoru zadost?	7
185	podava se k obnove prumysloveho vzoru zadost?	7
186	jak udrzet ochrannou znamku v platnosti?	7
187	jak udrzovat ochrannou znamku v platnosti?	7
188	jak prodlouzit ochrannou znamku?	7
189	jak obnovit ochrannou znamku?	7
190	poplatky za udrzovani ochranne znamky v platnosti	7
191	poplatek za udrzovani ochranne znamky v platnosti	7
192	podava se k prodlouzeni ochranne znamky zadost?	7
193	podava se k obnove ochranne znamky zadost?	7
194	kde najdu informace k prodlouzeni platnosti?	7
195	kde najdu informace k obnove platnosti?	7
196	kdy se hradi udrzovaci poplatek patentu?	7
197	jak se prodluzuje platnost zapisu ochranne znamky?	7
198	je mozne zmenit prihlasovatele prihlasky nebo majitele prumysloveho prava?	8
199	jaky je postup pro zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	8
200	co je potreba k zadosti o zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	8
201	poplatek spojeny s prevodem prumysloveho prava?	8
202	jaka je vyse poplatku za zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	8
203	jaky je poplatek za zmenu prihlasovatele prihlasky nebo majitele prumysloveho prava?	8
204	muze dojit k nabyti prava na zaklade jinych skutecnosti nez projevu vule?	8
205	je prechod prava zpoplatnen?	8
206	jak zmenit prihlasovatele prumysloveho prava?	8
207	jak zmenit majitele prumysloveho prava?	8
208	kdy je prevod prava ucinnym?	8
209	je potreba pro prevod prava nejaky formular?	8
210	je podava se pro prevod prava nejaky formular?	8
211	co je licence?	9
212	jak je mozne ziskat licenci?	9
213	co se predklada k zadosti o zapis licence?	9
214	co je treba prilozit k zadosti o zapis licence?	9
215	kolik stoji zapis licence?	9
216	poplatek za zapis licence?	9
217	jaky je postup pri zadosti o zapis licence?	9
218	co je prohlaseni o nabidce licence?	9
219	co znamena prohlaseni o nabidce licence?	9
220	prohlaseni o nabidce licence	9
221	kdo ma pravo nahlizet do spisu?	10
222	jak nahlizet do spisu?	10
223	jak nahlednout do spisu?	10
224	co je duvodem pro nahlednuti do spisu?	10
225	jaky je postup pro nahlizeni do spisu?	10
226	kdo muze nahlizet do spisu?	10
227	kdo je opravnen nahlizet do spisu?	10
228	zadost o nahlizeni do spisu	10
229	nahlizeni do spisu	10
230	jak postupovat pri nahlizeni do spisu?	10
231	jak pozadat o vypis.	11
232	co uvest v zadosti o vypis z rejstriku?	11
233	jak pozadat o opis?	11
234	jaky je rozdil mezi aktualnim a uplnym vypisem?	11
235	jaky je poplatek za vypis a opis?	11
236	kdo muze pozadat o opis listiny?	11
237	co obsahuje opis?	11
238	co je prioritni doklad?	11
239	k cemu slouzi prioritni doklad?	11
240	osvedceni o zapisu	11
241	opis patentove listiny	11
242	je mozne se odvolat proti rozhodnuti uradu?	12
243	muzu se odvolat proti rozhodnuti uradu?	12
244	jaka je lhuta pro podani rozkladu?	12
245	jaky je postup, pokud nesouhlasim s rozhodnutim uradu?	12
246	lze proti rozhodnuti uradu podat rozklad?	12
247	je mozne proti rozhodnuti uradu podat rozklad?	12
248	muzu proti rozhodnuti uradu podat rozklad?	12
249	je mozne podat odvolani?	12
250	muzu se odvolat proti rozhodnuti uradu i po zmeskane lhute?	12
251	odvolani	12
252	rozklad	12
253	opravne rizeni proti rozhodnuti uradu	12
254	jak podat odvolani ?	12
255	jak podat rozklad?	12
256	co mam delat, pokud dojde k poruseni meho patentu ?	13
257	co muzu delat, pokud dojde k poruseni meho patentu ?	13
258	co mam delat, pokud dojde k poruseni meho prava?	13
259	co muzu delat, pokud dojde k poruseni meho prava?	13
260	jake jsou moznosti , pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	13
261	co mam delat , pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	13
262	jak postupovat, pokud nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	13
263	jake jsou moznosti , kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	13
264	co mam delat , kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	13
265	jak postupovat, kdyz nekdo neopravnene zasahne do meho prumysloveho vlastnictvi?	13
266	neopravneny zasah do prav	13
267	kdo je opravnen vymahat prava z prumysloveho vlastnictvi?	13
268	kde mohu najit informace o vymahani prav?	13
269	kde najdu informace o vymahani prav?	13
270	na koho se mohu obratit, pri porusovani prav dusevniho vlastnictvi?	13
271	na koho se mam obratit, pri porusovani prav dusevniho vlastnictvi?	13
272	na koho se mohu obratit, pri poruseni prav dusevniho vlastnictvi?	13
273	na koho se mam obratit, pri poruseni prav dusevniho vlastnictvi?	13
274	kam se obratit pri porusovani prav z dusevniho vlastnictvi?	13
275	kam se obratit pri poruseni prav z dusevniho vlastnictvi?	13
276	vymahani prav	13
277	kdo muze pozadovat nahradu skody v pripade poruseni prumyslovych prav?	13
278	kdo je opravnen pozadovat nahradu skody v pripade poruseni prumyslovych prav?	13
279	nahrada skody	13
280	poruseni prav	13
281	poruseni prav z prumysloveho vlastnictvi	13
282	neopravneny zasah do prav z dusevniho vlastnictvi	13
283	muze urad rozhodnout o sporu tykajiciho se patentu ?	14
284	muze urad rozhodnout o sporu o patent?	14
285	muze urad rozhodnout o sporu ohledne patentu?	14
286	jak postupovat v pripade sporu o vyuziti patentu nebo uzitneho vzoru?	14
287	jak se postupuje v pripade sporu o vyuziti patentu nebo uzitneho vzoru?	14
288	spor o patent	14
289	spor v pripade patentu	14
290	spor o vyuziti patentu	14
291	spor o patentu	14
292	spor tykajici se patentu	14
293	spor o uzitny vzor	14
294	spor v pripade uzitneho vzoru	14
295	spor o vyuziti uzitneho vzoru	14
296	spor tykajici se uzitneho vzoru	14
297	co delat v pripade sporu o patent	14
298	jak postupovat v pripade sporu o patent	14
299	co delat uzitny vzor?	14
300	jak postupovat uzitny vzor?	14
301	jak muze urad pomoci ve sporu o patent ?	14
302	jak muze urad pomoci ve sporu o uzitny vzor ?	14
303	jak muze urad pomoci ve sporu tykajicim se patentu ?	14
304	jak muze urad pomoci ve sporu tykajicim se uzitneho vzoru ?	14
305	moznosti ve sporu	14
306	kde najdu informace o postupu v pripade sporu?	14
307	kde najit informace o postupu v pripade sporu?	14
308	spor	14
309	definice ochranne znamky?	15
310	co muze byt povazovano za ochrannou znamku?	15
311	co je ochranna znamka?	15
312	co je funkci ochranne znamky?	15
313	ochranna znamka	15
314	jake prvky mohou tvorit ochrannou znamku?	15
315	jake prvky tvori ochrannou znamku?	15
316	prvky ochranne znamky	15
317	"co se mysli terminem ""ochranna znamka""?"	15
318	k cemu slouzi ochranna znamka?	15
319	odliseni vyrobku a sluzeb od konkurence	15
320	jak provest resersi na ochrannou znamku?	16
321	existuji databaze se seznamem starsich ochrannych znamek?	16
322	kde najdu starsi ochranne znamky?	16
323	jak zacit, kdyz chci zapsat ochrannou znamku?	16
324	kde zacit, kdyz chci zapsat ochrannou znamku?	16
325	jak zacit, kdyz chci registrovat ochrannou znamku?	16
326	kde zacit, kdyz chci registrovat ochrannou znamku?	16
327	muzu si nechat provest resersi pred podanim prihlasky ochranne znamky?	16
328	muzu si objednat resersi ochranne znamky?	16
329	jakou urychlit resersi?	16
330	expresni reserse ochranne znamky	16
331	jakym zpusobem mohu objednat resersni sluzby uradu?	16
332	kolik stoji reserse ochranne znamky?	16
333	jak objednam resersi ochranne znamky?	16
334	poplatek za resersi ochranne znamky?	16
335	cenik resersnich sluzeb	16
336	cenik pro resersni sluzby uradu?	16
337	jaky je spravni poplatek za prijeti prihlasky ochranne znamky?	17
338	jake jsou naklady na registraci kolektivni ochranne znamky?	17
339	poplatek za podani prihlasky ochranne znamky	17
340	poplatky za podani prihlasky ochranne znamky	17
341	cenik za podani prihlasky ochranne znamky	17
342	jak mohu zaplatit spravni poplatek za podani prihlasky ochranne znamky?	17
343	jak lze zaplatit spravni poplatek za podani prihlasky ochranne znamky?	17
344	existuji nejake slevy na spravni poplatek pri elektronickem podani ochranne znamky?	17
345	poplatek za podani zadosti o obnovu platnosti ochranne znamky?	17
346	jak dlouho plati	17
347	je platna ochranna znamka?	17
348	jak mohu prodlouzit platnost ochranne znamky?	17
349	jak je mozne prodlouzit platnost ochranne znamky?	17
350	kde mohu najit databazi ochrannych znamek?	18
351	kde lze najit databazi ochrannych znamek?	18
352	ma urad verejne dostupnou databazi ochrannych znamek?	18
353	jakym zpusobem jak mohu prohledavat ochranne znamky?	18
354	kde najdu prehled ochrannych znamek?	18
355	jak zjistim , zda moje znacka je jiz registrovana?	18
356	jak  mohu zjistit, zda moje znacka je jiz registrovana?	18
357	jak zjistim , jestli moje znacka je jiz registrovana?	18
358	jak  mohu zjistit, jestli moje znacka je jiz registrovana?	18
359	jak zjistim , ze moje znacka je jiz registrovana?	18
360	jak  mohu zjistit, ze moje znacka je jiz registrovana?	18
361	kde mohu nalezt ochranne znamky evropske unie?	18
362	kde najdu ochranne znamky evropske unie?	18
363	kde jsou ochranne znamky evropske unie?	18
364	kde muzu najit ochranne znamky evropske unie?	18
365	jak se mohu podivat na ochranne znamky registrovane v zahranici?	18
366	kde se mohu podivat na ochranne znamky registrovane v zahranici?	18
367	jak  najdu ochranne znamky registrovane v zahranici?	18
368	kde najdu ochranne znamky registrovane v zahranici?	18
369	jak  najit ochranne znamky registrovane v zahranici?	18
370	kde najit ochranne znamky registrovane v zahranici?	18
371	zahranicni databaze ochrannych znamek	18
372	resersni databazi ochrannych znamek?	18
373	resersni databaze ochrannych znamek?	18
374	jake resersni sluzby ochrannych znamek poskytuje urad?	19
375	typy resersi ochrannych znamek provadi urad	19
376	jak podat zadost o resersi ochranne znamky u uradu?	19
377	jak dlouho trva zpracovani reserse ochranne znamky uradem?	19
378	expresni reserse ochrannych znamek	19
379	expresni reserse ochranne znamky	19
380	jak objednat resersi ochranne znamky?	19
381	kolik stoji reserse ochranne znamky?	19
382	jaky je postup pro objednani pisemne reserse u uradu?	19
383	co jsou to historicke reserse ochrannych znamek?	19
384	co je reserse na slovni oznaceni?	19
385	co zahrnuje reserse na slovni oznaceni?	19
386	jak prihlasit mezinarodni ochranne znamky?	20
387	jak podat prihlasku mezinarodni ochranne znamky?	20
388	jak postupovat pri zapisu mezinarodni ochranne znamky?	20
389	kdo muze podat zadost o mezinarodni zapis ochranne znamky?	20
390	mezinarodni ochranna znamka	20
391	obnoveni mezinarodni ochranne znamky	20
392	kde muzu najit informace o mezinarodni ochranne znamce?	20
393	kde mohu najit informace o mezinarodni ochranne znamce?	20
394	kde najdu informace o mezinarodni ochranne znamce?	20
395	kde jsou informace o mezinarodni ochranne znamce?	20
396	jak funguje mezinarodni zapis ochrannych znamek?	20
397	co je protokol k madridske dohode ?	20
398	co je madrid?	20
399	kde prihlasit mezinarodni ochrannou znamku?	20
400	je mozne prihlasit ceskou ochrannou znamku jako mezinarodni?	20
401	doba ochrany mezinarodni ochranne znamky	20
402	kde muzu najit informace o prihlasovani ochrannych znamek eu ?	21
403	kde najdu informace o prihlasovani ochrannych znamek eu ?	21
404	kde jsou informace o prihlasovani ochrannych znamek eu ?	21
405	kde muzu najit informace o prihlasovani ochrannych znamek evropske unie?	21
406	kde najdu informace o prihlasovani ochrannych znamek evropske unie?	21
407	kde jsou informace o prihlasovani ochrannych znamek evropske unie?	21
408	informace ochrannych znamkach v eu	21
409	informace ochrannych znamkach v evropske unii	21
410	registrace evropskych ochrannych znamek eu	21
411	registrace evropskych ochrannych znamek evropske unie	21
412	prihlasovani ochrannych znamek eu	21
413	prihlasovani ochrannych znamek evropske unie	21
414	prihlaska ochranne znamky eu	21
415	registrace ochranne znamky eu	21
416	prihlaska ochranne znamky evropske unie	21
417	registrace ochranne znamky evropske unie	21
418	jak se lze dozvedet vice o ochrane dusevniho vlastnictvi v eu ?	21
419	jak se lze dozvedet vice o ochrane dusevniho vlastnictvi v evropske unii?	21
420	kde mohu najit pokyny k prihlaseni ochranne znamky v eu ?	21
421	kde najdu pokyny k prihlaseni ochranne znamky v eu ?	21
422	kde jsou pokyny k prihlaseni ochranne znamky v eu ?	21
423	kde mohu najit pokyny k prihlaseni ochranne znamky v evropske unii?	21
424	kde najdu pokyny k prihlaseni ochranne znamky v evropske unii?	21
425	kde jsou pokyny k prihlaseni ochranne znamky v evropske unii?	21
426	kdo poskytuje informace o prihlaseni ochrannych znamek v eu ?	21
427	kdo poskytuje informace o prihlaseni ochrannych znamek v evropske unii?	21
428	jak dlouho plati ochranna znamka?	22
429	podminky pro prodlouzeni platnosti ochranne znamky	22
430	jaky je proces pro prodlouzeni platnosti ochranne znamky?	22
431	jak postupovat pri prodlouzeni platnosti ochranne znamky?	22
432	jak podat zadost o prodlouzeni platnosti ochranne znamky?	22
433	jaka je delka ochrany ochranne znamky?	22
434	co je treba udelat k obnove platnosti ochranne znamky?	22
435	co mam udelat k obnove platnosti ochranne znamky?	22
436	delka ochrany ochranne znamky	22
437	platnost ochranne znamky	22
438	prodlouzeni zapisu ochranne znamky	22
439	obnova platnosti ochranne znamky	22
440	kde mohu najit informace o druzich ochrannych znamek?	23
441	kde najdu informace o druzich ochrannych znamek?	23
442	kde jsou informace o druzich ochrannych znamek?	23
443	druhy ochrannych znamek	23
444	formaty ochrannych znamek	23
445	kde mohu najit informace o formatech ochrannych znamek?	23
446	kde najdu informace o formatech ochrannych znamek?	23
447	kde jsou informace o formatech ochrannych znamek?	23
448	muzete mi poradit, kde najdu informace o ochrannych znamkach?	23
449	jak podat prihlasku ochranne znamky?	24
450	jak mam podat prihlasku ochranne znamky?	24
451	jak mohu podat prihlasku ochranne znamky?	24
452	jak muzu podat prihlasku ochranne znamky?	24
453	jak je mozne podat prihlasku ochranne znamky?	24
454	podani prihlasky ochranne znamky	24
455	jakym zpusobem podat prihlasku ochranne znamky?	24
456	jakym zpusobem mam podat prihlasku ochranne znamky?	24
457	jakym zpusobem mohu podat prihlasku ochranne znamky?	24
458	jakym zpusobem muzu podat prihlasku ochranne znamky?	24
459	jakym zpusobem je mozne podat prihlasku ochranne znamky?	24
460	kdo muze podat prihlasku ochranne znamky?	24
461	kdo je opravnen podat prihlasku ochranne znamky?	24
462	kde lze najit formular prihlasky ochranne znamky?	24
463	kde mohu najit formular prihlasky ochranne znamky?	24
464	kde muzu najit formular prihlasky ochranne znamky?	24
465	snizeni poplatku pri podani prihlasky ochranne znamky elektronicky	24
466	sleva na poplatku pri podani prihlasky ochranne znamky elektronicky	24
467	prihlaska ochranne znamky	24
468	je mozne podani prihlasky ochranne znamky do datove schranky uradu?	24
469	zapis ochranne znamky	24
470	formular prihlasky ochranne znamky	24
471	jake jsou nalezitosti prihlasky ochranne znamky?	25
472	co musi obsahovat prihlaska ochranne znamky?	25
473	co by mela obsahovat prihlaska ochranne znamky?	25
474	co jsou soucasti prihlasky ochranne znamky?	25
475	jake informace jsou soucasti prihlasky ochranne znamky?	25
476	co  musi byt soucasti prihlasky ochranne znamky?	25
477	jake informace musi byt soucasti prihlasky ochranne znamky?	25
478	co je nutne mit v prihlasce ochranne znamky?	25
479	co je potreba mit v prihlasce ochranne znamky?	25
480	co je nutne  uvest v prihlasce ochranne znamky?	25
481	co je potreba uvest v prihlasce ochranne znamky?	25
482	co je nutne  vyplnit v prihlasce ochranne znamky?	25
483	co je potreba vyplnit v prihlasce ochranne znamky?	25
484	jake udaje musi byt vyplneny v prihlasce ochranne znamky?	25
485	jake udaje musi byt uvedeny v prihlasce ochranne znamky?	25
486	pozadavky na prihlasku ochranne znamky	25
487	co vse musim uvest v prihlasce ochranne znamky?	25
488	co vse musim vyplnit v prihlasce ochranne znamky?	25
489	co musi prihlaska ochranne znamky obsahovat?	25
490	co by mela prihlaska ochranne znamky obsahovat?	25
491	jakym zpusobem se ma vyplnit prihlaska ochranne znamky?	25
492	jakym zpusobem vyplnit prihlaska ochranne znamky?	25
493	jakym zpusobem se vyplnuje prihlaska ochranne znamky?	25
494	co vse je potreba pro podani prihlasky ochranne znamky?	25
495	co vse je nutne pro podani prihlasky ochranne znamky?	25
496	co vse se vyzaduje pro podani prihlasky ochranne znamky?	25
497	jaky je prubeh rizeni po podani prihlasky ochranne znamky?	26
498	jaky je prubeh rizeni pri podani prihlasky ochranne znamky?	26
499	pruzkum prihlasky ochranne znamky	26
500	prezkum prihlasky ochranne znamky	26
501	co se stane, pokud ma prihlaska ochranne znamky vady?	26
502	vady prihlasky ochranne znamky	26
503	vecny pruzkum prihlasky ochranne znamky	26
504	formalni pruzkum prihlasky ochranne znamky	26
505	vylouceni oznaceni ze zapisu do rejstriku	26
506	kdo muze podat prihlasku ochranne znamky?	26
507	kdo je opravnen podat prihlasku ochranne znamky?	26
508	jake kroky nasleduji po zverejneni prihlasky ochranne znamky ve vestniku?	26
509	co nasleduje po zverejneni prihlasky ochranne znamky ve vestniku?	26
510	podani namitek proti prihlasenemu oznaceni ochranne znamky	26
511	namitky proti prihlasene ochranne znamce	26
512	namitky proti prihlasovane ochranne znamce	26
513	namitky proti prihlaseni ochranne znamky	26
514	namitky proti prihlasce ochranne znamky	26
515	co je zaslano vlastnik ochranne znamky po jejim zapisu?	26
516	jaky dokument je zaslano vlastnik ochranne znamky po jejim zapisu?	26
517	co  je zaslan vlastnik ochranne znamky po jejim zapisu?	26
518	jaky dokument je zaslan vlastnik ochranne znamky po jejim zapisu?	26
519	co  obdrzi vlastnik ochranne znamky po jejim zapisu?	26
520	jaky dokument obdrzi vlastnik ochranne znamky po jejim zapisu?	26
521	co  dostane vlastnik ochranne znamky po jejim zapisu?	26
522	jaky dokument dostane vlastnik ochranne znamky po jejim zapisu?	26
523	jaky je postup pro podani namitek proti registraci ochranne znamky do rejstriku ochrannych znamek?	27
524	jaky je postup pro podani namitek proti zapisu ochranne znamky do rejstriku ochrannych znamek?	27
525	kdo muze podat namitky proti zapisu oznaceni ochranne znamky do rejstriku?	27
526	kdo je opravnen podat namitky proti zapisu oznaceni ochranne znamky do rejstriku?	27
527	kdo ma pravo podat namitky proti zapisu oznaceni ochranne znamky do rejstriku?	27
528	kdo muze podat namitky proti registraci ochranne znamky do rejstriku?	27
529	kdo je opravnen podat namitky proti registraci ochranne znamky do rejstriku?	27
530	kdo ma pravo podat namitky proti registraci ochranne znamky do rejstriku?	27
531	jaka je lhuta pro podani namitek proti registraci ochranne znamky?	27
532	jakou lhutu mam pro podani namitek proti registraci ochranne znamky?	27
533	jaka je lhuta pro podani namitek proti zapisu onaceni ochranne znamky?	27
534	jakou lhutu mam pro podani namitek proti zapisu onaceni ochranne znamky?	27
535	namitky proti zapisu oznaceni ochranne znamky do rejstriku	27
536	namitky proti registraci ochranne znamky do rejstriku	27
537	jake jsou moznosti doplneni dukazu nebo rozsireni namitkovych duvodu v ramci lhuty pro podani namitek?	27
538	namitky proti zapsane ochranne znamce	27
539	namitky proti zaregistrovane ochranne znamce	27
540	poplatek za podani namitek proti registraci ochranne znamky?	27
541	poplatek za podani namitek proti prihlasenemu oznaceni ochranne znamky?	27
542	jaka je lhuta pro podani namitek proti zapsane ochranne znamce?	27
543	jakou lhutu mam pro podani namitek proti zapsane ochranne znamce?	27
544	lhuta pro podani namitek proti zapsane ochranne znamce?	27
545	jaka je lhuta pro podani namitek proti zaregistrovane ochranne znamce?	27
546	jakou lhutu mam pro podani namitek proti zaregistrovane ochranne znamce?	27
547	lhuta pro podani namitek proti zaregistrovane ochranne znamce?	27
548	jak podat namitky proti zapsane ochranne znamce?	27
549	jak podat namitky proti zaregistrovane ochranne znamce?	27
